,title,category,intro,url
0,사악한 주술이 가득한... 의식의 서,보드게임 · TRPG,사악한 주술이 가득한... 의식의 서,https://tumblbug.com/ritualbook
1,"한국왕실 고양이 트럼프 카드 <묘화>와 일러스트북,틴케이스",보드게임 · TRPG,여러 게임이 가능한 한국풍 왕실 모자와 머리스타일로 그린 고양이 플레잉 카드입니다. ,https://tumblbug.com/catflower
2,데뷔 못 하면 죽는 병 걸림 1차 공식 굿즈,출판,"[KW북스] 백덕수 작가님의 '데뷔 못 하면 죽는 병 걸림' 첫 번째 공식굿즈, 마법소년.",https://tumblbug.com/testar_official_1st_goods
3,어느 여행자가 남긴 <<판타지 설정 도감>>,출판," 판타지 세계의 식자재, 무기는 물론 다양한 종족과 동식물의 설명으로 가득합니다.",https://tumblbug.com/fantasyart
4,교회의 '금기와 편견'을 깨고 나온 <퀴어 성서 주석 2>,출판,"교회의 금기와 편견을 깨고 나온 성서 해설서, <퀴어 성서 주석 2. 신약 성서>.",https://tumblbug.com/qbc2
5,프리랜서 작가로 한 달에 400~1000만 원 버는 법,출판,프리랜서 작가 실전 노하우와 팁 / 모든 글쓰기 분야 작법 설명 / 정확한 페이 계산 ,https://tumblbug.com/aronsong5
6,타로와 점성술의 조합 '별 타로카드 PRO',디자인,"타로카드에 별자리, 행성, 원소 기호를 추가하여 다방면으로 활용할 수 있는 새로운 타로 덱",https://tumblbug.com/pro
7,"기독교 대천사부터 본디에이의 천사까지, <천사소개록> ",출판,"기독교, 유대교 전설, 이슬람 천사들과 '본디에이의 천사들'이라 불리는 부두교 로아의 기록",https://tumblbug.com/angelus
8,20대 여자 : 부유하는 심판자들,출판,238개 문항의 대규모 웹조사로 살펴본 '20대 여자'라는 새로운 정치세력,https://tumblbug.com/twenties
9,500가지 기호와 상징 <SYMBOLS> 심볼 사전,출판,"수천 년의 인류 역사에 걸쳐 500개가 넘는 기호, 상징
고대 천문학부터 마법 악마학까지 ",https://tumblbug.com/symbols300
10, 게으른 완벽주의자들을 위한 플래너 <데일리 처방전>,디자인 문구,"'완벽하려다 아무것도 못했다'라는 말은 그만-
하루 한 장, 데일리 처방전과 함께 해요.",https://tumblbug.com/dailyprescription
11,문 시놉시스 : 웹소설 작가가 만든 하이퍼링크 시놉시스,출판,"웹소설은 물론 스토리텔링이 필요한 모든 곳에, 아마추어부터 프로작가까지 하이퍼링크 시놉시스",https://tumblbug.com/moonsynopsis
12,러시아 아방가르드의 이론과 실제 : 말레비치와 그의 학파,출판,면면히 살펴보는 말레비치와 20세기 러시아 아방가르드 예술가들의 작품과 삶의 이야기!,https://tumblbug.com/malevich
13,당신의 운명을 정하는 [YES/NO] 코인,예술,운명의 [YES/NO] 코인,https://tumblbug.com/yes-no_coin
14,"따뜻한 차 한잔의 여유, 요나폿의 애프터눈 티 세트",푸드,요나폿과 함께하는 오후의 티 타임 ,https://tumblbug.com/jonapot12
15,오픈월드형 스토리텔링 보드게임 [슬리핑 갓즈 한국어판],보드게임 · TRPG,이제 기나긴 항해의 서막을 올릴 시간입니다. 슬리핑 갓즈 보드게임 정식 한국어판,https://tumblbug.com/sleepinggods
16,웹툰&일러스트 꽃과 과일 장식 브러쉬,웹툰 리소스,"웹툰, 일러스트를 빠르고 화려하게 꾸며줄 꽃과 과일 위주로 구성된 장식 브러쉬 세트입니다.",https://tumblbug.com/22020571
17,우리나라 역사 속 하늘세계로<찬란한 우리 천체 이야기-상>,출판,"우리나라 역사 기록 속 신비한 천문 이야기와 별자리 점괘, 설화를 모두 소개하는 책입니다.",https://tumblbug.com/koreauniverse
18,대장정의 마지막! <가담항설> 오디오 웹툰 드라마 시즌3,웹툰 · 만화,네이버웹툰 <가담항설>의 오디오 웹툰 드라마 마지막 시즌!,https://tumblbug.com/gdhsseason3
19,"월간커피, 군밤과 군고구마 같은 겨울 간식 콜드브루 커피",푸드,'월간커피'라는 이름으로 매달 새로운 싱글 오리진 콜드브루 커피를 한정수량으로 선보입니다.,https://tumblbug.com/brewsbrothers49
20,"따뜻하고 아름다운 힐링 판타지, <소원을 이루어주는 섬>",출판,행복의 섬을 찾아가는 각기 다른 아픔을 가진 이들의 이야기,https://tumblbug.com/hiddenisland
21,중등수학부터 고등수학까지 한번에 정리한 <수포의 공식집>,출판,졸업/입학/새학기 최고의 선물 <수포의 공식집>: 우리들 가방속 필수 아이템!!!,https://tumblbug.com/gozipmath_1
22,"고전에서 발굴한 해몽 기록, <꿈보다 해몽> 도감 ",출판,오랜 역사서와 민간 자료에서 꿈 이야기를 모아 해몽 도감을 발간합니다.,https://tumblbug.com/dreaminterpret
23,왕이 사랑한 보석같은 궁중디저트를 선물합니다. ,푸드,왕이 사랑했던 보석같은 우리의 전통궁중병과를 여러분께 선물합니다. ,https://tumblbug.com/wolmyo
24,올해도 함께 하고 싶은 사람에게 [멜랑 기프트 세트],푸드,멜랑이와 함께 말랑한 새해를 보내보세요!,https://tumblbug.com/melan9
25,"화려한 제복의 시대 ""그림으로보는 대한제국의 군복""",출판,대한제국의 화려한 서양식 군복들을 한권에 담았습니다.,https://tumblbug.com/uniformkorea
26,기다리고 기다렸다! 창작자를 위한 테크웨어 브러쉬 ,웹툰 리소스,"벨트, 사슬, 스터드, 레터링, 디스트로이 진, 아일렛 등 148 종 테크웨어 모음",https://tumblbug.com/uniz_
27,[설 전 배송]조선클래식의 시작! 대창의 백운코트,의류,"[설 전 배송]울 100% 상의원의 손길로 만든 조선클래식의 시작, 대창의 백운코트",https://tumblbug.com/baekuncoat
28,동남아 향취를 가득 담은 '미얀마 코코넛밀크 국수' 밀키트,푸드,"커리향 가득한 코코넛밀크 소스에, 맛있는 달걀면을 함께? 간편하게 먹는 진짜 미얀마 음식!",https://tumblbug.com/chilluchillu_1
29,19세기 말 런던의 금수양복점 <금수를 위한 의복가이드>,출판,"19세기 말 런던, 가상의 양복점을 배경으로 한 이야기 동물 손님들과 인간 양장사의 이야기",https://tumblbug.com/clothing_guide_for_animals
30,글감옥 두 번째 작품집 <글감옥 수감일지 vol.2>,출판,글을 쓰고 싶어서 스스로 감옥에 갇힌 25명의 이야기를 담았습니다.,https://tumblbug.com/writing_prison2
31,아름다움의 공감 <아칸서스 그리고 능화 실버 주얼리> ,주얼리,"VOVODAVIN 주얼리 팀의 첫 프로젝트 , 서양의 아칸서스와 동양의 능화의 만남 ",https://tumblbug.com/vovodavin
32,관점을 바꾸는 그림시 <뻐끔뻐끔>,출판,난 너를 사랑하지만 우리는 참 소통이 안돼_'저주받은 커뮤니케이션',https://tumblbug.com/redentertainment
33,5.18 민주화운동 애니메이션 <운동화 비행기>,영화 · 비디오,그림책 <운동화 비행기>를 원작으로 아름답고 숭고한 민주주의 정신을 담은 단편 애니메이션,https://tumblbug.com/518animation
34,세상에 없던 새로운 수채화 다이어리,디자인 문구,일상 속에서 간편하게 그림 그리는 수채화 다이어리,https://tumblbug.com/artable
35,방안을 가득 채울 수 있는 풀장: [프룸] 인센스 홀더,홈 · 리빙,풀장에서 모티브를 딴 인센스 홀더 [프룸]은 방안을 향으로 가득 채울 수 있는 풀장입니다.,https://tumblbug.com/prooml
36,살짝... 설렜을지도... 다 함께 메이킹 BL ~학원편~,보드게임 · TRPG,이렇게 불끈한 플레이는 처음이야. 어느 고등학교에서 펼쳐지는 두근두근 위험한 학원 로맨스!,https://tumblbug.com/makingbl_1
37,[압생트] 녹색의 요정은 '고흐'에게 녹색악마로 변하였다.,향수 · 뷰티,"19세기 후반 유럽국가들의 예술가들에게 엄청난 사랑을 받았던 술, '압생트' 향수 프로젝트",https://tumblbug.com/absiinthe
38,"인류에게 고하는 가장 화려한 작별, <잊혀진 것들의 도시>",출판,"지친 마음을 위로해 주는 환상 동화, 
일러스트레이터 산호 작가와의 특별한 콜라보",https://tumblbug.com/il_inching
39,파리와 기억의 지속,향수 · 뷰티,영화 '미드나잇인 파리'의 모티브된 향기들을 저와 함께 만나보아요. ,https://tumblbug.com/markcollectionperfume2
40,웹툰 <퀴퀴한일기> 단행본 & 캘린더 & 다이어리 제작!,웹툰 · 만화,"다음웹툰 <퀴퀴한일기> 단행본 3-4권과 2022년 캘린더, 다이어리가 제작됩니다.",https://tumblbug.com/2022_2b
41,당신만 초대받았어요. 비밀의 유니콘 마법 포션 향수,향수 · 뷰티,근심 걱정을 날려주는 아기유니콘의 마법 포션 3종 향수,https://tumblbug.com/unicornperfume
